town_id,raw_id,sta,lat,lon
355,NS133,N/A,35.70701375,139.6978468
356,NS134,N/A,35.73029325,139.7150928
357,NS135,N/A,35.67220543,139.6680243
358,NS136,N/A,35.68102491,139.7199295
359,NS137,N/A,35.68931139,139.6823041
360,NS138,N/A,35.71743442,139.7164669
361,NS139,N/A,35.68811646,139.6717118
362,NS140,N/A,35.72610658,139.7360207
363,NS141,N/A,35.56065701,139.6226825
364,NS142,N/A,35.67854875,139.6971827
365,NS143,N/A,35.68228716,139.6845913
366,NS144,N/A,35.73710688,139.7358172
367,NS145,N/A,35.63213522,139.6083946
368,NS146,N/A,35.69832779,139.7105561
369,NS147,N/A,35.77880794,139.735946
370,NS149,N/A,35.72562791,139.7154563
371,NS150,N/A,35.68430638,139.6602085
372,NS151,N/A,35.6780861,139.6854114
373,NS152,N/A,35.69062498,139.6960676
374,NS153,N/A,35.74137439,139.74981
375,NS154,N/A,35.67294031,139.6790571
376,NS155,N/A,35.70085743,139.6794511
377,NS156,N/A,35.65403601,139.6773843
378,NS157,N/A,35.67550864,139.6654945
379,NS158,N/A,35.64833516,139.6780354
380,NS159,N/A,35.71839981,139.7382712
381,NS160,N/A,35.77396477,139.7588794
382,NS161,N/A,35.70508749,139.6848229
383,NS162,N/A,35.69875967,139.6777169
384,NS163,N/A,35.7619139,139.7861539
385,NS164,N/A,35.68835537,139.7009439
386,NS165,N/A,35.64315187,139.6486211
387,NS166,N/A,35.75463397,139.7371835
388,NS167,N/A,35.68261823,139.7121602
389,NS168,N/A,35.79367123,139.7678404
390,NS169,N/A,35.66930356,139.6633273
391,NS170,N/A,35.79931197,139.7771234
392,NS171,N/A,35.75327998,139.7028624
393,NS172,N/A,35.68079033,139.758716
394,NS173,N/A,35.68178045,139.7113939
395,NS174,N/A,35.73533673,139.6979537
396,NS175,N/A,35.7457285,139.7222977
397,NS176,N/A,35.65324931,139.6917885
398,NS177,N/A,35.69463164,139.6872614
399,NS178,N/A,35.68700227,139.7731686
